segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-05-19T19:37:01.959968,A,240p,200,1081.89,0.185,19.81,3.96,2.0,1,0,0.0,0
1,2026-05-19T19:37:02.495721,A,480p,700,1306.85,0.536,18.88,6.95,3.82,1,0,0.0,0
2,2026-05-19T19:37:03.107871,A,480p,700,1143.96,0.612,21.83,9.92,5.28,1,0,0.0,0
3,2026-05-19T19:37:03.705106,A,480p,700,1172.51,0.597,24.44,12.83,6.67,1,0,0.0,0
4,2026-05-19T19:37:04.306812,A,480p,700,1163.77,0.601,20.59,14.38,8.07,1,0,0.0,0
5,2026-05-19T19:37:04.859222,A,480p,700,1267.66,0.552,17.11,14.93,9.47,1,0,0.0,0
6,2026-05-19T19:37:05.415854,A,480p,700,1258.05,0.556,18.11,15.56,10.92,1,0,0.0,0
7,2026-05-19T19:37:05.960723,A,480p,700,1285.2,0.545,21.27,16.7,12.36,1,0,0.0,0
8,2026-05-19T19:37:06.501476,A,480p,700,1295.01,0.541,21.29,17.62,13.81,1,0,0.0,0
9,2026-05-19T19:37:07.118421,A,480p,700,1134.99,0.617,21.33,18.36,15.27,1,0,0.0,0
